School_Name,geometry,SA2_CODE21,SA2_NAME21
Berwick Chase Primary School,POINT (354995.62463509536 5785413.481506637),212021553,Berwick - South East
Pakenham Lakeside Primary School,POINT (363071.7753263578 5785438.861503883),212011552,Pakenham - South West
Davis Creek Primary School,POINT (294159.6956835212 5807595.160138979),213051585,Tarneit - South
Pakenham Springs Primary School,POINT (365827.5527148514 5783703.260781477),212011552,Pakenham - South West
Taylors Hill Primary School,POINT (302558.21543857956 5823256.169925956),213041360,Taylors Hill
Cranbourne Carlisle Primary School,POINT (349957.37608754146 5783091.108563924),212031300,Cranbourne
Aurora School,POINT (337285.531562053 5810305.963923311),207031162,Blackburn South
Derrimut Primary School,POINT (303041.724315107 5815209.012704406),213011570,Derrimut
Epping Views Primary School,POINT (325633.70025264006 5833572.900648547),209041433,Epping (Vic.) - West
Cranbourne East Primary School,POINT (351344.23671947967 5781035.245502902),212031557,Cranbourne East - North
Lyndhurst Primary School,POINT (346863.3189954603 5784428.845694528),212031306,Lynbrook - Lyndhurst
Aitken Creek Primary School,POINT (315064.54282293876 5838526.995227752),210051543,Craigieburn - West
Reservoir Views Primary School,POINT (325699.4113902162 5825017.480153672),209021523,Reservoir - North East
Meadows Primary School,POINT (317442.2059648804 5826835.11941831),210051242,Broadmeadows
Mernda Park Primary School,POINT (332036.5640662656 5835304.895519902),209041532,Mernda - South
Sunshine Harvester Primary School,POINT (310289.9262355933 5816083.206324154),213011336,Sunshine
Pakenham Primary School,POINT (369365.76855428785 5786043.868467322),212011549,Pakenham - North East
Alamanda K-9 College,POINT (301435.2446030216 5801960.504199063),213051466,Point Cook - South
Whitehorse Primary School,POINT (338639.8808861568 5813963.674061904),207031161,Blackburn
Lalor Gardens Primary School,POINT (323716.3962002447 5829619.080914615),209041530,Lalor - West
Chandler Park Primary School,POINT (340227.95051432424 5793466.306303092),212041565,Keysborough - North
Keysborough Primary School,POINT (337742.269958786 5794501.886275687),212041318,Springvale South
Lyndale Greens Primary School,POINT (342291.9497463249 5796542.429318822),212041312,Dandenong North
Athol Road Primary School,POINT (337501.5482061056 5795782.5958042275),212041318,Springvale South
Springvale Rise Primary School,POINT (338228.54834864836 5799325.977941406),212041317,Springvale
Spring Parks Primary School,POINT (336555.6343153787 5797119.175943281),212041317,Springvale
Keilor Views Primary School,POINT (306905.6587413213 5823252.47196525),213011332,Keilor Downs
Wyndham Park Primary School,POINT (295674.8939034034 5804413.930962615),213051467,Werribee - East
Glenroy Central Primary School,POINT (317084.7700970039 5824968.748623),210031535,Glenroy - East
William Ruthven Primary School,POINT (323920.5438245072 5825962.202131509),209021524,Reservoir - North West
Newbury Primary School,POINT (315389.43517902464 5839728.790930863),210051542,Craigieburn - North West
Dallas Brooks Community Primary School,POINT (318483.954993038 5828772.025538866),210051243,Campbellfield - Coolaroo
Wyndham Vale Primary School,POINT (289817.74267762015 5803078.811031957),213051590,Wyndham Vale - South
Officer Specialist School,POINT (360647.1286285928 5785139.137542528),212011546,Beaconsfield - Officer
Epping Primary School,POINT (325810.5880823104 5831754.92962909),209041432,Epping - South
Hazel Glen College,POINT (333979.7726981626 5837173.430920134),209041527,Doreen - North
Tulliallan Primary School,POINT (353302.7598797111 5783810.2997383),212031559,Cranbourne North - East
Coolaroo South Primary School,POINT (317497.94038982166 5829665.10332126),210051243,Campbellfield - Coolaroo
Jacana School for Autism,POINT (315990.0243434746 5826794.0145023875),210051242,Broadmeadows
Arnolds Creek Primary School,POINT (283278.98848119215 5828361.3470184645),213041358,Melton West
Wilandra Rise Primary School,POINT (352697.1958556359 5780765.693545591),212031557,Cranbourne East - North
South Melbourne Primary School,POINT (319897.62445596 5811145.50709968),206051511,Port Melbourne Industrial
Barton Primary School,POINT (345626.5252165976 5779963.026385509),212031304,Cranbourne West
John Henry Primary School,POINT (363422.015222957 5784436.908624915),212011552,Pakenham - South West
South Melbourne Park Primary School,POINT (320734.45070547366 5809921.498096767),206051128,Albert Park
Bridgewood Primary School,POINT (361381.7886447384 5785022.913767862),212011546,Beaconsfield - Officer
Aitken Hill Primary School,POINT (315113.07177649887 5836312.143975865),210051443,Craigieburn - South
Ashley Park Primary School,POINT (334718.1748407823 5835180.126616373),209041528,Doreen - South
Casey Fields Primary School,POINT (350843.72807207255 5779487.581298334),212031558,Cranbourne East - South
Keysborough Gardens Primary School,POINT (338582.8958212142 5791534.601548721),212041566,Keysborough - South
Docklands Primary School,POINT (318717.1206688182 5812966.933563242),206041118,Docklands
Garrang Wilam Primary School,POINT (299788.8164593056 5810743.474949669),213051586,Truganina - North
Aintree Primary School,POINT (294320.70532888366 5822265.440068053),213041359,Rockbank - Mount Cottrell
Donnybrook Primary School,POINT (323099.1379542347 5843662.312173173),209041225,Whittlesea
Deanside Primary School,POINT (297028.20395427477 5822559.02442429),213041574,Fraser Rise - Plumpton
Gaayip-Yagila Primary School,POINT (315244.17060086044 5844430.488160333),210051445,Mickleham - Yuroke
Riverbend Primary School,POINT (291249.4496097377 5805257.462548104),213051589,Wyndham Vale - North
Ramlegh Park Primary School,POINT (354328.3985386452 5780134.604214492),212031556,Clyde North - South
Strathtulloh Primary School,POINT (287559.75805300474 5822891.380726056),213041572,Cobblebank - Strathtulloh
Gilgai Plains Primary School,POINT (319597.7090407025 5844102.096635437),210051445,Mickleham - Yuroke
Barrawang Primary School,POINT (322871.4342314084 5836899.042106524),209041437,Wollert
Willowbank Primary School,POINT (288574.85369546904 5846533.869194247),210021232,Gisborne
Clyde Creek Primary School,POINT (353754.5669968606 5779224.086411521),212031303,Cranbourne South
Wollert Primary School,POINT (325866.4772705721 5835477.197051711),209041437,Wollert
Endeavour Hills Specialist School,POINT (345767.24991602555 5795072.4116895255),212021454,Endeavour Hills - South
Quarters Primary School,POINT (346561.8499068091 5782219.712651201),212031304,Cranbourne West
Ngarri Primary School,POINT (287485.5018427664 5806213.554069344),213051579,Manor Lakes - Quandong
Lollypop Creek Primary School,POINT (290196.58218582766 5801377.284707657),213051468,Werribee - West
Kurrun Primary School,POINT (360091.7217571313 5785188.4479851425),212011546,Beaconsfield - Officer
Thornhill Park Primary School,POINT (290751.69535769033 5823116.199034075),213041359,Rockbank - Mount Cottrell
Karwan Primary School,POINT (292877.3650280483 5807926.017671439),213051582,Tarneit (West) - Mount Cottrell
Nearnung Primary School,POINT (296251.6993915547 5810997.425188816),213051584,Tarneit - North
Wayi School,POINT (316419.8658868952 5839205.45572307),210051442,Craigieburn - North
Collingwood College,POINT (323091.19885492756 5814142.396123422),206071141,Collingwood
Macleod College,POINT (330107.28042737074 5822974.658201557),209011203,Viewbank - Yallambie
Pakenham Consolidated School,POINT (365317.09121523716 5785819.249984454),212011552,Pakenham - South West
Red Hill Consolidated School,POINT (324861.7782026634 5751597.582952517),214021378,Flinders
Sherbrooke Community School,POINT (354821.3485499164 5807520.024186159),211051282,Mount Dandenong - Olinda
Virtual School Victoria,POINT (326094.44023867475 5818751.352895234),206021112,Thornbury
Victorian School Of Languages,POINT (326105.6815827108 5818761.581419887),206021112,Thornbury
Avenues Education,POINT (327429.25228305534 5799624.993539078),208031191,Moorabbin - Heatherton
Monash Children's Hospital School,POINT (335126.7567947357 5801470.979920938),212051568,Clayton - Central
Katandra Berendale Special School (interim name),POINT (327046.66147031443 5799130.667781424),208011172,Hampton
Mount Erin Secondary College,POINT (337657.80662366236 5773242.591362756),214011373,Frankston South
Box Hill Senior Secondary College,POINT (333794.716274799 5813670.706957703),207031164,Box Hill North
Edgars Creek Secondary College,POINT (323916.6155701176 5835640.237553797),209041437,Wollert
Elevation Secondary College,POINT (313752.89296474983 5836661.368655268),210051443,Craigieburn - South
Clyde Secondary College,POINT (354408.39063043543 5778507.649329836),212031303,Cranbourne South
Lyndhurst Secondary College,POINT (348351.02114078205 5784408.943414388),212031560,Cranbourne North - West
Dromana Secondary College,POINT (326404.1176126412 5754300.002815368),214021377,Dromana
Peter Lalor Secondary College,POINT (324765.735047354 5829283.928671109),209041530,Lalor - West
Lilydale Heights College,POINT (353873.8899130755 5821091.2345333155),211051278,Lilydale - Coldstream
Staughton College,POINT (285678.54446039174 5823759.972348783),213041578,Melton South - Weir Views
Bentleigh Secondary College,POINT (329479.69055393396 5800469.4816172905),208021427,Bentleigh East - South
Rosehill Secondary College,POINT (313764.98789945163 5820187.161815268),210011230,Niddrie - Essendon West
Northern College of the Arts and Technology,POINT (326013.9100042246 5821188.618873319),209021428,Preston - East
Swinburne Senior Secondary College,POINT (327568.53663785453 5811999.434362156),207011520,Hawthorn - South
Victorian College Of The Arts Secondary School,POINT (320886.83748778235 5811291.468223464),206041509,Southbank - East
Wyndham Central Secondary College,POINT (293689.7076613576 5803913.392464583),213051467,Werribee - East
Whittlesea Secondary College,POINT (333868.15064188384 5846328.996484557),209041225,Whittlesea
Auburn High School,POINT (327981.51286462764 5810149.718284037),207011152,Hawthorn East
Balwyn High School,POINT (330675.1232116668 5814870.377274695),207011148,Balwyn North
Bayswater Secondary College,POINT (347069.44686619105 5810621.567647884),211011251,Bayswater
Beaumaris Secondary College,POINT (327338.5588403704 5794758.3282701485),208011168,Beaumaris
Berwick Secondary College,POINT (356546.476371935 5789440.199383),212021293,Berwick - North
Blackburn High School,POINT (337140.80707622133 5813612.209436903),207031161,Blackburn
Box Hill High School,POINT (336045.83753140614 5812521.452004112),207031163,Box Hill
Braybrook College,POINT (310440.9252011216 5816605.178717508),213031347,Braybrook
Brentwood Secondary College,POINT (338783.297119583 5803749.473056251),212051321,Glen Waverley - East
Brighton Secondary College,POINT (325887.07471123163 5801193.210254875),208011170,Brighton East
Buckley Park College,POINT (314785.5589311614 5820161.308861148),206031501,Essendon (West) - Aberfeldie
Camberwell High School,POINT (330401.24223324156 5811280.175179843),207011149,Camberwell
Canterbury Girls Secondary College,POINT (330051.21727585216 5812367.522277778),207011155,Surrey Hills (West) - Canterbury
Cheltenham Secondary College,POINT (330320.9467765582 5797556.181445815),208031188,Highett (East) - Cheltenham
Cranbourne Secondary College,POINT (349742.38044641376 5780860.4100632975),212031300,Cranbourne
Cranbourne West Secondary College,POINT (346265.8550846948 5780892.045748639),212031304,Cranbourne West
Croydon Community School,POINT (348662.890030602 5816165.487090446),211031451,Croydon - West
Mount Alexander 7-12 College,POINT (317998.5870571701 5816343.853417211),206031115,Flemington
East Doncaster Secondary College,POINT (337842.32252169744 5816760.873044083),207021425,Doncaster East - South
Doncaster Secondary College,POINT (336041.4622387844 5816453.237427641),207021157,Doncaster
Eltham High School,POINT (336232.09616082977 5823132.934264388),209031209,Eltham
Elwood College,POINT (322814.5718788457 5805328.286498535),206051129,Elwood
Epping Secondary College,POINT (326500.35230085783 5831863.783357738),209041431,Epping - East
Fairhills High School,POINT (346879.71385510376 5806824.029621379),211011447,Ferntree Gully - North
Port Melbourne Secondary College,POINT (318015.36868844996 5810808.723463447),206051511,Port Melbourne Industrial
Footscray High School,POINT (314543.7697072096 5815279.7472364735),213031348,Footscray
Frankston High School,POINT (336082.3064403741 5774535.333544791),214011373,Frankston South
Gisborne Secondary College,POINT (286495.7360412831 5847128.107603654),210021232,Gisborne
Gladstone Park Secondary College,POINT (313959.2408906262 5826509.827031838),210051245,Gladstone Park - Westmeadows
Bundoora Secondary College,POINT (329165.13301817386 5824870.130325537),209011196,Bundoora - East
Western Port Secondary College,POINT (340557.0678855927 5758418.776307194),214021379,Hastings - Somers
Healesville High School,POINT (370383.6230462403 5832713.1280760495),211051276,Healesville - Yarra Glen
Highvale Secondary College,POINT (339630.82473522646 5807551.408720084),212051321,Glen Waverley - East
Kensington Community High School,POINT (317338.1489959768 5815689.7442765655),206041121,Kensington (Vic.)
Kew High School,POINT (329489.05653299415 5815102.319687972),207011154,Kew East
Koonung Secondary College,POINT (334276.3602043318 5814463.036120709),207031164,Box Hill North
Koo Wee Rup Secondary College,POINT (368284.14175602084 5771247.765563849),212011548,Koo Wee Rup
Lalor Secondary College,POINT (326319.2259284393 5828678.397806276),209041529,Lalor - East
Lalor North Secondary College,POINT (326600.2511270136 5830004.223141114),209041432,Epping - South
Lilydale High School,POINT (354124.27004641783 5819444.079806283),211051278,Lilydale - Coldstream
Lyndale Secondary College,POINT (342459.4773783219 5797243.884949473),212041312,Dandenong North
Lynall Hall Community School,POINT (324158.64402026206 5812666.566116329),206071518,Richmond - North
Maribyrnong Secondary College,POINT (314027.38526522624 5816570.400632096),213031349,Maribyrnong
Melbourne High School,POINT (323595.3159468281 5810395.30485858),206061515,South Yarra - North
Melton Secondary College,POINT (285560.42612087703 5826711.854507948),213041358,Melton West
Mentone Girls Secondary College,POINT (329048.4575316573 5794596.658492945),208031190,Mentone
Mickleham Secondary College,POINT (314609.2671485328 5844552.895447444),210051445,Mickleham - Yuroke
Monbulk College,POINT (361742.93089739524 5805981.32183025),211051279,Monbulk - Silvan
Montmorency Secondary College,POINT (333731.40791651787 5824232.945704306),209011202,Montmorency - Briar Hill
Mooroolbark College,POINT (351537.60015261435 5817801.756807852),211051281,Mooroolbark
Mordialloc College,POINT (332562.6923893539 5791110.303967902),208031189,Edithvale - Aspendale
Mount Eliza Secondary College,POINT (333042.6668957956 5771419.331572249),214021381,Mount Eliza
Mount Waverley Secondary College,POINT (335723.50261965295 5807065.6235351935),212051323,Mount Waverley - North
McKinnon Secondary College,POINT (328454.75174809614 5802131.065240461),208021174,Bentleigh - McKinnon
MacRobertson Girls High School,POINT (321529.3300856687 5810455.043179838),206051128,Albert Park
Northcote High School,POINT (322952.86030632467 5817338.918623855),206021500,Northcote - West
Norwood Secondary College,POINT (344840.0341464996 5814939.899531864),211031266,Ringwood
Pakenham Secondary College,POINT (365879.9092355268 5785425.627075954),212011552,Pakenham - South West
Edenbrook Secondary College,POINT (363530.3816555869 5784357.698700696),212011552,Pakenham - South West
Parkdale Secondary College,POINT (332584.78850487084 5793546.398364116),208031193,Mordialloc - Parkdale
Pascoe Vale Girls Secondary College,POINT (318039.4515449199 5823515.517072391),210031538,Pascoe Vale
Prahran High School,POINT (323265.7230071005 5808731.8399530165),206061136,Prahran - Windsor
Preston High School,POINT (324346.10962982784 5820973.41084804),209021428,Preston - East
Princes Hill Secondary College,POINT (320801.5646665717 5816257.693902042),206071140,Carlton North - Princes Hill
Homestead Senior Secondary College,POINT (303851.05495093786 5801187.039282833),213051464,Point Cook - East
Ringwood Secondary College,POINT (345011.7621761983 5813071.659545522),211031266,Ringwood
Richmond High School,POINT (324208.3862363198 5812564.384704338),206071518,Richmond - North
Rosebud Secondary College,POINT (315443.7782116247 5751283.085112612),214021384,Rosebud - McCrae
Saltwater P-9 College,POINT (303966.50813642726 5801766.073253495),213051464,Point Cook - East
Scoresby Secondary College,POINT (344903.11541427945 5805074.138965454),211011254,Knoxfield - Scoresby
St Albans Secondary College,POINT (306909.35667062155 5820157.086621094),213011335,St Albans - South
Oakwood School,POINT (327102.01027563645 5806345.648574404),208021177,Caulfield - North
Strathmore Secondary College,POINT (317306.1281249611 5821346.638873331),210011231,Strathmore
Sunbury College,POINT (299422.4198214868 5838992.744675705),210041240,Sunbury
Sydney Road Community School,POINT (320536.45902786916 5817546.391408963),206011496,Brunswick - South
Thomastown Secondary College,POINT (323803.9981182094 5827952.415068986),209041223,Thomastown
Dohertys Creek P-9 College,POINT (300606.9083599907 5809186.654989931),213051587,Truganina - South East
University High School,POINT (319984.47161934664 5814741.10937902),206041124,Parkville
Roxburgh College,POINT (317370.1389907696 5833176.002207446),210051544,Roxburgh Park (South) - Somerton
Upper Yarra Secondary College,POINT (378841.50874420814 5816360.943519),211051286,Yarra Valley
Upwey High School,POINT (353664.9034363572 5803490.2801835),211051284,Upwey - Tecoma
Vermont Secondary College,POINT (341597.9769175791 5809952.888955365),211041272,Vermont
Kambrya College,POINT (355007.9828593703 5786938.834815104),212021553,Berwick - South East
Carrum Downs Secondary College,POINT (341958.0546135371 5782078.35264752),214011370,Carrum Downs
Greenvale Secondary College,POINT (313826.2193089862 5830888.843749665),210051246,Greenvale - Bulla
Wantirna College,POINT (344289.9034798185 5808508.046373485),211011259,Wantirna
Warrandyte High School,POINT (340029.1944173445 5820562.238034072),211021262,Warrandyte - Wonga Park
Wellington Secondary College,POINT (339126.7917177749 5799875.4062887505),212051325,Mulgrave
Werribee Secondary College,POINT (295045.3430867832 5802102.978477667),213051368,Werribee - South
Westall Secondary College,POINT (336257.071588231 5799170.220368364),212041310,Clayton South
Wheelers Hill Secondary College,POINT (340160.3721088178 5802597.55157244),212051327,Wheelers Hill
Williamstown High School,POINT (314834.37396826304 5807312.558492369),213021346,Williamstown
Glen Eira College,POINT (327467.13242661254 5805052.2380444575),208021177,Caulfield - North
Craigieburn Secondary College,POINT (317813.23378629214 5835590.398326091),210051443,Craigieburn - South
Emerald Secondary College,POINT (364538.41848951986 5801467.360530885),212011289,Emerald - Cockatoo
Reservoir High School,POINT (326360.03217276046 5823173.054079094),209021525,Reservoir - South East
Hampton Park Secondary College,POINT (347288.7523332994 5788888.110936374),212031562,Hampton Park - West
Hoppers Crossing Secondary College,POINT (297291.84495604475 5805969.75270549),213051362,Hoppers Crossing - South
Keilor Downs Secondary College,POINT (307076.43066574633 5823492.956414605),213011332,Keilor Downs
Kurunjang Secondary College,POINT (287099.73656501924 5827733.307180854),213041576,Kurunjang - Toolern Vale
Elisabeth Murdoch College,POINT (341440.6535959553 5774963.653892296),214011374,Langwarrin
Sunbury Downs Secondary College,POINT (297312.34030883835 5837861.085708765),210041541,Sunbury - West
Forest Hill College,POINT (338442.4399656956 5809403.004046595),207031166,Burwood East
Patterson River Secondary College,POINT (336414.03721947415 5783277.670378741),214011375,Seaford (Vic.)
St Helena Secondary College,POINT (335989.76528354245 5827298.585166428),209011197,Greensborough
Rowville Secondary College,POINT (345055.3453639222 5801164.162195162),211011256,Rowville - Central
Sandringham College,POINT (326316.8597715561 5797144.6581401685),208011173,Sandringham - Black Rock
Fitzroy High School,POINT (322782.12241381686 5816141.817808463),206071143,Fitzroy North
Ashwood High School,POINT (333163.99208100885 5807520.197651089),212051319,Ashwood - Chadstone
Mullauna Secondary College,POINT (340678.93661877327 5814043.385190854),211041270,Mitcham (Vic.)
Diamond Valley College,POINT (338383.39273928443 5828904.243339896),209031215,Wattle Glen - Diamond Creek
Blackburn English Language School,POINT (337082.5033308127 5809446.074336563),207031166,Burwood East
Collingwood English Language School,POINT (322600.9723377831 5813592.294704493),206071141,Collingwood
Noble Park English Language School,POINT (339978.9783882762 5795818.133959417),212041460,Noble Park - West
Greensborough Secondary College,POINT (331747.7431065894 5824813.278166944),209011197,Greensborough
Mill Park Secondary College,POINT (329191.7902079717 5829681.844676532),209041220,Mill Park - North
Bacchus Marsh College,POINT (273651.54880059196 5825963.204173496),213041353,Bacchus Marsh
The Grange P-12 College,POINT (295459.32657763 5807377.802443376),213051361,Hoppers Crossing - North
Springside West Secondary College,POINT (299732.0338078047 5823299.088465098),213041574,Fraser Rise - Plumpton
Taylors Lakes Secondary College,POINT (305575.159538449 5824358.164311718),213011340,Taylors Lakes
Sunshine College,POINT (307509.6450964158 5814882.830908535),213011338,Sunshine West
Wallan Secondary College,POINT (321378.2283370681 5856800.31071312),209041224,Wallan
Thornbury High School,POINT (326038.2714356219 5819366.292687269),206021112,Thornbury
Copperfield College,POINT (303670.06249695935 5822975.146201082),213011331,Delahey
Bayside P-12 College,POINT (313958.3580562064 5807865.639515509),213021346,Williamstown
South Oakleigh Secondary College,POINT (332102.4722290358 5801083.176611297),212051326,Oakleigh - Huntingdale
Mornington Secondary College,POINT (329971.8295748236 5768356.906488053),214021592,Mornington - West
Essendon Keilor College,POINT (312296.1433859271 5820927.680360904),210011534,Keilor East
Brunswick Secondary College,POINT (319888.57964700245 5817634.383964878),206011496,Brunswick - South
Glen Waverley Secondary College,POINT (338364.543514914 5806117.892404042),212051322,Glen Waverley - West
Monterey Secondary College,POINT (337646.8831930274 5778571.0023363),214011372,Frankston North
Viewbank College,POINT (331411.1285023549 5821175.308295665),209011203,Viewbank - Yallambie
Noble Park Secondary College,POINT (340345.83720837324 5795931.872441641),212041459,Noble Park - East
Yarra Hills Secondary College,POINT (351737.84266684426 5816222.56132157),211051281,Mooroolbark
Heathmont College,POINT (344437.010822688 5810638.747016221),211031267,Ringwood East
Melbourne Girls College,POINT (325235.3788924756 5812020.100211312),206071517,Richmond (South) - Cremorne
Templestowe College,POINT (334617.0966395122 5818328.5244640745),207021160,Templestowe Lower
McClelland Secondary College,POINT (338631.95654530387 5776348.166074367),214011372,Frankston North
Western English Language School,POINT (311045.8806903674 5815204.6135410275),213031347,Braybrook
Narre Warren South P-12 College,POINT (349530.8856277504 5787279.161678386),212031458,Narre Warren South - West
The Lakes South Morang College,POINT (330207.5732864483 5832946.4302033475),209041435,South Morang - North
Point Cook Senior Secondary College,POINT (300628.93966568296 5804330.448213377),213051580,Point Cook - North East
Manor Lakes P-12 College,POINT (289072.3925809863 5805508.261899227),213051579,Manor Lakes - Quandong
Coburg High School,POINT (321382.96072524355 5821019.649684111),206011497,Coburg - East
Mount Ridley P-12 College,POINT (316448.6498739562 5838903.015497584),210051442,Craigieburn - North
Tarneit Senior College,POINT (295872.25882696174 5810139.6630172),213051583,Tarneit - Central
John Monash Science School,POINT (335505.5587988025 5802051.406009207),212051567,Clayton (North) - Notting Hill
Altona College,POINT (308112.3104648813 5807263.635487098),213021341,Altona
Dandenong High School,POINT (342705.651801549 5794955.2412830135),212041563,Dandenong - North
Laverton P-12 College,POINT (304049.24195442325 5807804.9732888695),213051363,Laverton
Hume Central Secondary College,POINT (316172.47206997406 5827595.199052907),210051242,Broadmeadows
Nossal High School,POINT (354025.81274601514 5788607.396683435),212021293,Berwick - North
Suzanne Cory High School,POINT (297827.90912531933 5803470.156333611),213051368,Werribee - South
Keysborough Secondary College,POINT (338359.7193491359 5796246.971241454),212041318,Springvale South
Hallam Secondary College,POINT (347331.8151437516 5792736.304432281),212021297,Hallam
Gleneagles Secondary College,POINT (348628.8199364273 5795600.988662579),212021453,Endeavour Hills - North
Fountain Gate Secondary College,POINT (350344.2575852619 5792228.164024015),212021456,Narre Warren - South West
Alkira Secondary College,POINT (351652.50155523873 5784720.596576362),212031559,Cranbourne North - East
Somerville Secondary College,POINT (339698.9861954734 5767383.942819881),214021385,Somerville
Tarneit Rise Primary School,POINT (294595.99004006875 5809793.607272523),213051583,Tarneit - Central
Albert Park College,POINT (319394.88377293583 5809420.318674253),206051128,Albert Park
Charles La Trobe P-12 College,POINT (328920.9707104364 5822481.675416249),209021205,Kingsbury
Victoria University Secondary College,POINT (305745.0396762403 5819020.540568477),213011329,Cairnlea
Glenroy Secondary College,POINT (317082.2762787158 5824922.065180415),210031535,Glenroy - East
John Fawkner Secondary College,POINT (321208.7928240615 5825233.394420752),210031237,Fawkner
William Ruthven Secondary College,POINT (323919.66211087385 5825962.183330018),209021524,Reservoir - North West
Wollert Secondary College,POINT (325697.4155920454 5835663.469631232),209041437,Wollert
Mernda Central P-12 College,POINT (331255.82727265113 5836308.066677613),209041532,Mernda - South
Cranbourne East Secondary College,POINT (351480.9336991429 5781186.485161878),212031557,Cranbourne East - North
Featherbrook P-9 College,POINT (300203.1636111083 5802663.40421535),213051466,Point Cook - South
Doveton College,POINT (345727.0085497777 5793899.449213529),212021295,Doveton
Officer Secondary College,POINT (360619.6382378574 5785002.1419902695),212011546,Beaconsfield - Officer
Brookside P-9 College,POINT (300638.50476033194 5819917.855739938),213041463,Caroline Springs
Creekside K-9 College,POINT (300678.8604962537 5821239.025238779),213041463,Caroline Springs
Lakeview Senior College,POINT (300867.08087694726 5821624.418333977),213041463,Caroline Springs
Springside Primary School,POINT (300671.9940392461 5823822.610276554),213041360,Taylors Hill
Melba Secondary College,POINT (346981.3852319652 5815449.5315348655),211031451,Croydon - West
Boronia K-12 College,POINT (349860.26275871636 5808534.098782737),211011446,Boronia
Tarneit P-9 College,POINT (295831.6384795222 5809683.388734225),213051583,Tarneit - Central
Parkville College,POINT (319229.15946232574 5816962.701699823),206041124,Parkville
Centre for Higher Education Studies,POINT (323664.98047472833 5810472.291947171),206061515,South Yarra - North
Wesley College,POINT (322465.0723468155 5809038.741879171),206041125,South Yarra - West
Korowa Anglican Girls' School,POINT (328873.5639162971 5807773.790019326),208041194,Malvern - Glen Iris
Parade College,POINT (329566.25640456413 5826801.111052448),209011196,Bundoora - East
Simonds Catholic College,POINT (319786.19509592524 5813738.704736728),206041510,West Melbourne - Residential
St Mary’s College Melbourne,POINT (323797.69217893307 5807898.430226035),206051134,St Kilda East
Sacred Heart School,POINT (313578.6405007418 5809818.843087823),213021344,Newport
St Mary's School,POINT (315352.38675998186 5807253.172791095),213021346,Williamstown
Ruyton Girls' School,POINT (327396.16076269187 5813331.312715111),207011521,Kew - South
Caulfield Grammar School,POINT (324534.59831332846 5805913.686885292),208021177,Caulfield - North
St Michael’s Primary School,POINT (319171.5738361173 5815131.835785851),206041506,North Melbourne
St Mary's School,POINT (323848.7897061766 5807937.272735633),206051134,St Kilda East
St Brendan's School,POINT (317871.861003096 5816057.9483278),206031115,Flemington
St Joseph's School,POINT (327004.1561401832 5811619.008627405),207011520,Hawthorn - South
Sacre Coeur,POINT (328604.17606282927 5807734.865568971),208041194,Malvern - Glen Iris
St Joseph's School,POINT (323571.39129592275 5817301.127095704),206021500,Northcote - West
Sacred Heart School,POINT (324121.7460931883 5820622.261249053),209021428,Preston - East
St Mary's School,POINT (298903.29225657805 5871791.412797743),210021235,Romsey
Star of the Sea College,POINT (323867.3915310834 5803751.192172875),208011169,Brighton (Vic.)
St James' School,POINT (323947.6565895976 5803618.584322268),208011169,Brighton (Vic.)
St Peter's School,POINT (330446.2936374815 5800969.13077112),208021427,Bentleigh East - South
Methodist Ladies' College,POINT (327342.03360791726 5813014.897412684),207011521,Kew - South
Christ Church Grammar School,POINT (322758.1831864229 5810141.930171821),206041125,South Yarra - West
St Paul's School,POINT (320942.50330083125 5821206.595512096),206011497,Coburg - East
St Andrew's School,POINT (293435.7482666151 5802536.71963445),213051468,Werribee - West
St Brigid's School,POINT (286945.6247025232 5847939.141995065),210021232,Gisborne
Our Lady of Mount Carmel School,POINT (300111.7119596572 5838369.848973637),210041240,Sunbury
Fintona Girls' School,POINT (331028.0235426724 5812957.144320697),207011147,Balwyn
St Patrick's School,POINT (366190.2622163151 5785388.551941064),212011549,Pakenham - North East
Lauriston Girls' School,POINT (326252.4614276176 5808732.301055947),206061135,Armadale
Xavier College,POINT (326691.2692152812 5813011.198431542),207011521,Kew - South
St Bernard's School,POINT (273769.6974209435 5827450.171086849),213041353,Bacchus Marsh
Trinity Grammar School Kew,POINT (327070.068608127 5813425.484603727),207011521,Kew - South
Academy of Mary Immaculate,POINT (321676.30454592407 5814030.801924676),206071142,Fitzroy
Sacred Heart School,POINT (322034.1827075714 5814222.841884596),206071142,Fitzroy
Mount Lilydale Mercy College,POINT (355323.20767460915 5820568.491675863),211051278,Lilydale - Coldstream
St Monica's School,POINT (315720.757909819 5814182.640803872),213031348,Footscray
St Augustine's School,POINT (314260.64207296574 5812757.562283021),213031352,Yarraville
Kilbreda College,POINT (330130.05829532514 5794178.477963309),208031190,Mentone
Padua College,POINT (331222.1259701284 5768210.960149694),214021591,Mornington - East
Melbourne Girls Grammar,POINT (322658.0730486103 5810945.75901958),206041125,South Yarra - West
St John's School,POINT (322860.26060434035 5815540.679254607),206071145,Clifton Hill - Alphington
Presbyterian Ladies' College,POINT (333450.90035905194 5809298.855981529),207031165,Burwood (Vic.)
St Monica's Primary School,POINT (317057.1620891908 5818819.844962703),206031116,Moonee Ponds
St Patrick's School,POINT (354874.2081636259 5820341.9412200665),211051278,Lilydale - Coldstream
Catholic Ladies' College Ltd,POINT (336365.8399870893 5824569.77510654),209031209,Eltham
