Facility Name,geometry,SA2_CODE21,SA2_NAME21
Sandringham Life Saving Club,POINT (324430.5366780227 5797772.836537689),208011173,Sandringham - Black Rock
Hampton Tennis Club,POINT (324161.3771703555 5799564.341249),208011172,Hampton
Beaumoris Tennis Club,POINT (327774.1859252533 5794368.967595259),208011168,Beaumaris
F.G. Tricks Reserve,POINT (326036.2543230731 5796195.266370981),208011173,Sandringham - Black Rock
St Stevens Tennis Club,POINT (327226.2045452307 5797568.792173966),208011171,Highett (West) - Cheltenham
Auburn Quarry Reserve,POINT (327800.87654265645 5810056.345614596),207011152,Hawthorn East
Burke Road South Reserve,POINT (328481.8371976288 5809184.370397975),207011150,Glen Iris - East
Club Hawthorn,POINT (327056.6961309429 5811976.136943392),207011520,Hawthorn - South
Ashburton Pool and Recreation Centre,POINT (331574.4563999642 5807230.076492104),207011146,Ashburton (Vic.)
Balwyn Leisure Centre,POINT (331359.7599892636 5814430.960782634),207011148,Balwyn North
Body World Hawthorn East,POINT (329041.1197077917 5811810.0545060225),207011152,Hawthorn East
Boroondara Sports Complex,POINT (331589.0905582948 5814260.595447472),207011148,Balwyn North
Contours Hawthorn,POINT (327128.2562039498 5812601.6523389425),207011519,Hawthorn - North
Fernwood Women's Health Club Camberwell,POINT (328267.9050267004 5811843.336789742),207011152,Hawthorn East
Goodlife Health Club Camberwell,POINT (328953.80165422824 5811406.48244058),207011152,Hawthorn East
Goodlife Health Clubs Balwyn,POINT (329921.5213837352 5813345.852136174),207011147,Balwyn
Hawthorn Aquatic and Leisure Centre,POINT (326916.91271163407 5812241.183246503),207011519,Hawthorn - North
Kew Recreation Centre,POINT (327317.05916394363 5814162.476589786),207011522,Kew - West
Vital Habits Personal Training,POINT (330721.93744315585 5809305.227137206),207011149,Camberwell
Your Gym Surrey Hills,POINT (332743.40010633477 5812986.221625102),207011155,Surrey Hills (West) - Canterbury
Hays Paddock,POINT (329037.87350111885 5815813.75893171),207011154,Kew East
Stradbroke Park,POINT (329296.5541756677 5814687.361967196),207011154,Kew East
Anderson Park,POINT (328293.2499280202 5810175.445279111),207011152,Hawthorn East
Balwyn Park,POINT (330830.8831119838 5813066.43315299),207011147,Balwyn
Burwood Reserve,POINT (332252.200865336 5808650.467261752),207011150,Glen Iris - East
Camberwell Sports Ground,POINT (329498.6237512347 5810398.597177412),207011149,Camberwell
Canterbury Sports Ground,POINT (331743.10673636454 5812187.740287268),207011155,Surrey Hills (West) - Canterbury
Ferndale Park,POINT (330061.25494304404 5808728.194448845),207011150,Glen Iris - East
Glenferrie Sportsground,POINT (326832.8136250315 5812249.514448339),207011519,Hawthorn - North
Gordon Barnard Reserve,POINT (331465.85349851666 5814536.374709522),207011148,Balwyn North
Greythorn Park,POINT (332102.8188340605 5814879.87562866),207011148,Balwyn North
